strategy,symbol,timeframe,params,trades,win_rate,sharpe,max_drawdown_pct,return_pct,profit_factor,avg_pnl
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",78,0.2564,-6.5629,0.449,-41.2646,0.3991,-5.290336
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",78,0.2564,-6.5607,0.4741,-42.1916,0.3864,-5.409174
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",78,0.2564,-6.5607,0.4741,-42.1916,0.3864,-5.409174
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",54,0.2963,-3.3288,0.3061,-23.8169,0.6231,-4.410533
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",54,0.2963,-3.9662,0.3538,-28.585,0.5345,-5.293524
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",54,0.2963,-3.9662,0.3538,-28.585,0.5345,-5.293524
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",54,0.2963,-3.3288,0.3061,-23.8169,0.6231,-4.410533
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",54,0.2963,-3.9662,0.3538,-28.585,0.5345,-5.293524
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",54,0.2963,-3.9662,0.3538,-28.585,0.5345,-5.293524
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",54,0.2963,-3.3288,0.3061,-23.8169,0.6231,-4.410533
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",54,0.2963,-3.9662,0.3538,-28.585,0.5345,-5.293524
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",54,0.2963,-3.9662,0.3538,-28.585,0.5345,-5.293524
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 9, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",43,0.2791,-2.4702,0.2193,-16.6315,0.6452,-3.867799
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 9, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",43,0.2791,-3.3906,0.2745,-22.9525,0.4961,-5.337788
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 9, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",43,0.2791,-3.3906,0.2745,-22.9525,0.4961,-5.337788
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 9, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",43,0.2791,-2.3941,0.2274,-17.4991,0.6319,-4.069554
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 9, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",43,0.2791,-3.2593,0.2812,-23.6688,0.4867,-5.504362
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 9, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",43,0.2791,-3.2593,0.2812,-23.6688,0.4867,-5.504362
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 9, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",43,0.2791,-2.3941,0.2274,-17.4991,0.6319,-4.069554
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 9, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",43,0.2791,-3.2593,0.2812,-23.6688,0.4867,-5.504362
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 9, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",43,0.2791,-3.2593,0.2812,-23.6688,0.4867,-5.504362
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",73,0.2329,-7.0808,0.437,-42.8152,0.3272,-5.865102
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",73,0.2329,-7.3931,0.4581,-44.9547,0.2816,-6.158183
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",73,0.2329,-7.3931,0.4581,-44.9547,0.2816,-6.158183
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",73,0.2329,-7.0808,0.437,-42.8152,0.3272,-5.865102
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",73,0.2329,-7.3931,0.4581,-44.9547,0.2816,-6.158183
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",73,0.2329,-7.3931,0.4581,-44.9547,0.2816,-6.158183
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",73,0.2329,-7.0808,0.437,-42.8152,0.3272,-5.865102
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",73,0.2329,-7.3931,0.4581,-44.9547,0.2816,-6.158183
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",73,0.2329,-7.3931,0.4581,-44.9547,0.2816,-6.158183
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",57,0.2105,-6.5835,0.4168,-39.7361,0.3972,-6.971238
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",57,0.2105,-7.2738,0.4567,-44.0915,0.3027,-7.735358
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",57,0.2105,-7.2738,0.4567,-44.0915,0.3027,-7.735358
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",57,0.2105,-6.5835,0.4168,-39.7361,0.3972,-6.971238
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",57,0.2105,-7.2738,0.4567,-44.0915,0.3027,-7.735358
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",57,0.2105,-7.2738,0.4567,-44.0915,0.3027,-7.735358
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",57,0.2105,-6.5835,0.4168,-39.7361,0.3972,-6.971238
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",57,0.2105,-7.2738,0.4567,-44.0915,0.3027,-7.735358
